Nome,País,Posição,Idade,Clube,Foto_URL,Copas_Jogadas,Ritmo,Finalização,Passe,Drible,Defesa,Físico
Koke,Espanha,Meio-campista,32,Atlético Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Koke_2019.jpg/500px-Koke_2019.jpg,2,68,73,86,81,76,78
Dani Olmo,Espanha,Meia Atacante,26,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dani_Olmo_2022.jpg/500px-Dani_Olmo_2022.jpg,1,78,76,83,85,55,65
Ferran Torres,Espanha,Ponta Direita,24,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Ferran_Torres_2019.png/500px-Ferran_Torres_2019.png,1,82,79,78,83,35,68
Álvaro Morata,Espanha,Centroavante,31,Como,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/%C3%81lvaro_Morata_in_2025.jpg/500px-%C3%81lvaro_Morata_in_2025.jpg,1,82,81,70,78,40,76
Emiliano Martínez,Argentina,Goleiro,31,Aston Villa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/St._Louis_City_vs_Aston_Villa_%28Jul_2025%29_14_%28Emiliano_Mart%C3%ADnez%29.jpg/500px-St._Louis_City_vs_Aston_Villa_%28Jul_2025%29_14_%28Emiliano_Mart%C3%ADnez%29.jpg,2,52,25,65,60,86,75
Nahuel Molina,Argentina,Lateral Direito,26,Atlético Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Universidad_Cat%C3%B3lica_-_Rosario_Central_20190313_04.jpg/500px-Universidad_Cat%C3%B3lica_-_Rosario_Central_20190313_04.jpg,1,83,62,76,78,76,70
Nicolás Otamendi,Argentina,Zagueiro,36,Benfica,https://upload.wikimedia.org/wikipedia/commons/d/de/Argentina_team_in_St._Petersburg_%28cropped%29_Otamendi.jpg,3,55,50,65,58,83,83
Germán Pezzella,Argentina,Zagueiro,32,River Plate,https://upload.wikimedia.org/wikipedia/commons/6/6a/Germ%C3%A1n_Pezzella_%28cropped%29.jpg,2,54,35,55,50,81,80
Nicolás Tagliafico,Argentina,Lateral Esquerdo,31,Lyon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Tagliafico_with_Lyon_in_2022.png/500px-Tagliafico_with_Lyon_in_2022.png,2,78,55,72,75,80,78
Leandro Paredes,Argentina,Volante,29,Boca Juniors,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Leandro_Paredes_2018_%28cropped%29.jpg/500px-Leandro_Paredes_2018_%28cropped%29.jpg,1,60,74,82,80,75,74
Rodrigo De Paul,Argentina,Meio-campista,30,Inter Miami,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Rodrigo_De_Paul_NYCFC_Miami_24_Sep_2025-018_%28cropped%29.jpg/500px-Rodrigo_De_Paul_NYCFC_Miami_24_Sep_2025-018_%28cropped%29.jpg,1,78,76,83,83,74,82
Giovani Lo Celso,Argentina,Meio-campista,28,Betis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3705_by_Stepro.jpg/500px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3705_by_Stepro.jpg,1,74,74,83,84,65,66
Lionel Messi,Argentina,Atacante,37,Inter Miami,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/2026_Lionel_Messi_%28cropped%29.jpg/500px-2026_Lionel_Messi_%28cropped%29.jpg,5,80,87,90,94,33,64
Ángel Di María,Argentina,Ponta Direita,36,Rosario Central,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/NIG-ARG_%285%29.jpg/500px-NIG-ARG_%285%29.jpg,4,79,79,84,86,48,58
Lautaro Martínez,Argentina,Centroavante,26,Inter Milan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Lautaro_Martinez_ARGENTINA_VS_VENEZUELA_2017.jpg/500px-Lautaro_Martinez_ARGENTINA_VS_VENEZUELA_2017.jpg,1,83,86,74,85,48,84
Jordan Pickford,Inglaterra,Goleiro,30,Everton,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Jordan_Pickford_2022-07-16_1.jpg/500px-Jordan_Pickford_2022-07-16_1.jpg,1,55,20,75,65,83,70
Kyle Walker,Inglaterra,Lateral Direito,34,Burnley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kyle_Walker.jpg/500px-Kyle_Walker.jpg,2,90,63,77,78,81,82
John Stones,Inglaterra,Zagueiro,30,Manchester City,https://upload.wikimedia.org/wikipedia/commons/f/f2/John_Stones_2018-06-13_1.jpg,2,72,40,76,75,85,79
Harry Maguire,Inglaterra,Zagueiro,31,Manchester United,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Harry_Maguire_2023_%28cropped%29.jpg/500px-Harry_Maguire_2023_%28cropped%29.jpg,2,46,52,68,65,81,85
Kieran Trippier,Inglaterra,Lateral Esquerdo,33,Newcastle United,https://upload.wikimedia.org/wikipedia/commons/d/d8/Kieran_Trippier_2018-07-14_1.jpg,2,75,65,84,78,80,71
Declan Rice,Inglaterra,Volante,25,Arsenal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/1_declan_rice_arsenal_2025_%28cropped%29.jpg/500px-1_declan_rice_arsenal_2025_%28cropped%29.jpg,1,73,65,80,77,84,83
Jordan Henderson,Inglaterra,Meio-campista,34,Brentford,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Jordan_Henderson_29112025_%284%29.jpg/500px-Jordan_Henderson_29112025_%284%29.jpg,3,65,70,80,75,76,76
Mason Mount,Inglaterra,Meio-campista,25,Manchester United,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Mountbrightonoct3_2019_%28cropped%29.jpg/500px-Mountbrightonoct3_2019_%28cropped%29.jpg,1,74,76,82,81,55,64
Raheem Sterling,Inglaterra,Ponta Esquerda,29,Feyenoord,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Raheem_Sterling_2018.jpg/500px-Raheem_Sterling_2018.jpg,3,88,78,78,86,45,60
Bukayo Saka,Inglaterra,Ponta Direita,22,Arsenal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/1_bukayo_saka_arsenal_2025_%28cropped%29.jpg/500px-1_bukayo_saka_arsenal_2025_%28cropped%29.jpg,0,85,82,81,87,65,65
Harry Kane,Inglaterra,Centroavante,30,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Harry_Kane_on_October_10%2C_2023.jpg/500px-Harry_Kane_on_October_10%2C_2023.jpg,2,69,93,84,83,49,83
Rui Patrício,Portugal,Goleiro,36,AS Roma,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Rui_Patr%C3%ADcio_2018.jpg/500px-Rui_Patr%C3%ADcio_2018.jpg,3,45,25,65,60,81,70
João Cancelo,Portugal,Lateral Direito,30,Barcelona,https://upload.wikimedia.org/wikipedia/commons/3/3f/Portugal_national_football_team_0866_%28Jo%C3%A3o_Cancelo%29.jpg,1,84,73,85,85,80,71
Pepe,Portugal,Zagueiro,41,FC Porto,https://upload.wikimedia.org/wikipedia/commons/5/55/Pepe_2018.jpg,4,65,45,60,58,84,86
Rúben Dias,Portugal,Zagueiro,27,Manchester City,https://upload.wikimedia.org/wikipedia/commons/9/9a/Portugal_national_football_team_0866_%28R%C3%BAben_Dias%29.jpg,1,62,39,68,68,89,87
Raphaël Guerreiro,Portugal,Lateral Esquerdo,30,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/2/22/Rapha%C3%ABl_Guerreiro_WC2022.jpg,1,76,75,86,86,76,60
William Carvalho,Portugal,Volante,32,Pachuca,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/William_Carvalho.jpg/500px-William_Carvalho.jpg,2,45,62,77,75,79,84
João Moutinho,Portugal,Meio-campista,37,Braga,https://upload.wikimedia.org/wikipedia/commons/5/58/Jo%C3%A3o_Moutinho_2018_%28cropped%29.jpg,2,52,68,84,80,65,60
Bruno Fernandes,Portugal,Meia Atacante,29,Manchester United,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bruno_Fernandes_Portugal%2C_2018.jpg/500px-Bruno_Fernandes_Portugal%2C_2018.jpg,2,71,85,90,83,69,77
Bernardo Silva,Portugal,Ponta Direita,29,Manchester City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Bernardo_Silva_%28Isto_%C3%89_Gozar_Com_Quem_Trabalha%2C_2024%29.png/500px-Bernardo_Silva_%28Isto_%C3%89_Gozar_Com_Quem_Trabalha%2C_2024%29.png,2,69,78,86,92,65,68
João Félix,Portugal,Atacante,24,Al-Nassr,https://upload.wikimedia.org/wikipedia/commons/c/cb/Portugal_national_football_team_0866_%28Jo%C3%A3o_F%C3%A9lix%29.jpg,1,81,78,79,86,40,66
Cristiano Ronaldo,Portugal,Centroavante,39,Al-Nassr,https://upload.wikimedia.org/wikipedia/commons/9/94/2025_Cristiano_Ronaldo_%28cropped%29.jpg,5,77,88,75,79,34,74
Alisson Becker,Brasil,Goleiro,31,Liverpool,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alisson_in_2018.jpg/500px-Alisson_in_2018.jpg,2,55,25,75,65,89,78
Danilo,Brasil,Lateral Direito,32,Juventus,https://ui-avatars.com/api/?name=Danilo&size=500&background=0f172a&color=38bdf8,2,76,58,75,75,81,80
Marquinhos,Brasil,Zagueiro,30,Paris Saint-Germain,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/FC_Salzburg_gegen_Paris_Saint-Germain_UEFA_Champions_League_49_%28cropped%29.jpg/500px-FC_Salzburg_gegen_Paris_Saint-Germain_UEFA_Champions_League_49_%28cropped%29.jpg,2,78,45,75,74,89,80
Thiago Silva,Brasil,Zagueiro,39,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Thiago_Silva_850_1582.jpg/500px-20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Thiago_Silva_850_1582.jpg,3,52,54,73,72,85,76
Alex Sandro,Brasil,Lateral Esquerdo,33,Flamengo,https://upload.wikimedia.org/wikipedia/commons/0/0d/FC_Zenit_Saint_Petersburg_vs._Juventus%2C_20_October_2021_28_-_Alex_Sandro_%28cropped2%29.jpg,2,72,62,75,76,78,78
Casemiro,Brasil,Volante,32,Manchester United,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Casemiro_Brazil_Austria_June_2018.jpg/500px-Casemiro_Brazil_Austria_June_2018.jpg,2,63,73,79,72,85,88
Fred,Brasil,Meio-campista,31,Fenerbahçe,https://upload.wikimedia.org/wikipedia/commons/8/8d/Fred_Brazil_%28cropped%29.jpg,2,75,68,78,80,76,75
Lucas Paquetá,Brasil,Meia Atacante,26,Flamengo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Lucas_Paquet%C3%A1_of_West_Ham.jpeg/500px-Lucas_Paquet%C3%A1_of_West_Ham.jpeg,1,74,76,82,85,70,78
Neymar,Brasil,Meia Atacante,32,Santos,https://upload.wikimedia.org/wikipedia/commons/b/bb/Neymar_Jr._with_Al_Hilal%2C_3_October_2023_-_03_%28cropped%29.jpg,3,86,83,85,93,37,61
Richarlison,Brasil,Atacante,27,Tottenham Hotspur,https://upload.wikimedia.org/wikipedia/commons/3/3d/Richarlison_%C3%A9_homenageado_na_ALES_%2810.July.2019%29_01_%28cropped%29.jpg,1,81,79,73,80,52,78
Gabriel Jesus,Brasil,Centroavante,27,Arsenal,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Gabriel_Jesus_850_1688.jpg/500px-20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Gabriel_Jesus_850_1688.jpg,1,83,80,76,86,40,74
Jasper Cillessen,Holanda,Goleiro,35,NEC,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/GAE_-_NEC_-_53493777654_%28Jasper_Cillessen%29.jpg/500px-GAE_-_NEC_-_53493777654_%28Jasper_Cillessen%29.jpg,2,48,25,65,60,80,68
Denzel Dumfries,Holanda,Lateral Direito,28,Inter Milan,https://upload.wikimedia.org/wikipedia/commons/b/b7/Edison_ndreca_inter_egnati_%28cropped_Denzel_Dumfries%29.jpg,1,83,65,72,75,79,89
Virgil van Dijk,Holanda,Zagueiro,33,Liverpool,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/20160604_AUT_NED_8876_%28cropped%29.jpg/500px-20160604_AUT_NED_8876_%28cropped%29.jpg,1,78,60,71,72,89,86
Matthijs de Ligt,Holanda,Zagueiro,24,Manchester United,https://upload.wikimedia.org/wikipedia/commons/c/c9/2022-07-30_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFL-Supercup%2C_RB_Leipzig_-_FC_Bayern_M%C3%BCnchen_Matthijs_de_Ligt_%28cropped%29.jpg,1,66,59,64,65,85,86
Daley Blind,Holanda,Lateral Esquerdo,34,Girona,https://upload.wikimedia.org/wikipedia/commons/c/c7/Zarya-MU_%286%29_%E2%80%94_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.jpg,2,50,62,82,76,80,72
Frenkie de Jong,Holanda,Volante,27,Barcelona,https://upload.wikimedia.org/wikipedia/commons/4/42/%D0%9C%D0%B0%D1%82%D1%87_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB_-_%C2%AB%D0%91%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D0%BE%D0%BD%D0%B0%C2%BB_0-1._2_%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8F_2021_%D0%B3%D0%BE%D0%B4%D0%B0._II_%E2%80%94_1289671_%28cropped%29.jpg,1,82,69,86,87,77,78
Georginio Wijnaldum,Holanda,Meio-campista,33,Al-Ettifaq,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/20160604_AUT_NED_8884_%28cropped%29.jpg/500px-20160604_AUT_NED_8884_%28cropped%29.jpg,2,74,74,78,82,76,76
Davy Klaassen,Holanda,Meio-campista,31,Ajax,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/GAE_-_Ajax_-_52788472780_%28Davy_Klaassen%29.jpg/500px-GAE_-_Ajax_-_52788472780_%28Davy_Klaassen%29.jpg,2,68,76,78,77,72,76
Steven Bergwijn,Holanda,Ponta Direita,26,Al-Ittihad,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/GAE_-_Ajax_-_52788530788_%28Steven_Bergwijn%29.jpg/500px-GAE_-_Ajax_-_52788530788_%28Steven_Bergwijn%29.jpg,1,85,78,77,84,40,74
Donyell Malen,Holanda,Ponta Esquerda,25,Roma,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/DONYELL_MALEN_%E2%80%93_2023.08.12.jpg/500px-DONYELL_MALEN_%E2%80%93_2023.08.12.jpg,1,89,80,72,84,35,72
Memphis Depay,Holanda,Centroavante,30,Corinthians,https://upload.wikimedia.org/wikipedia/commons/1/1c/Memphis_Depay_2019.jpg,2,81,83,81,84,30,79
Manuel Neuer,Alemanha,Goleiro,38,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/20180602_FIFA_Friendly_Match_Austria_vs._Germany_Manuel_Neuer_850_0723.jpg/500px-20180602_FIFA_Friendly_Match_Austria_vs._Germany_Manuel_Neuer_850_0723.jpg,4,52,25,78,65,88,72
Joshua Kimmich,Alemanha,Lateral Direito,29,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2078_LR10_by_Stepro_%28cropped%29.jpg/500px-2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2078_LR10_by_Stepro_%28cropped%29.jpg,2,70,72,87,83,83,79
Antonio Rüdiger,Alemanha,Zagueiro,31,Real Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/20180602_FIFA_Friendly_Match_Austria_vs._Germany_Antonio_R%C3%BCdiger_850_0711.jpg/500px-20180602_FIFA_Friendly_Match_Austria_vs._Germany_Antonio_R%C3%BCdiger_850_0711.jpg,2,82,43,71,67,86,86
Niklas Süle,Alemanha,Zagueiro,28,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/20180602_FIFA_Friendly_Match_Austria_vs._Germany_Niklas_S%C3%BCle_850_0725.jpg/500px-20180602_FIFA_Friendly_Match_Austria_vs._Germany_Niklas_S%C3%BCle_850_0725.jpg,1,70,42,66,60,83,83
Robin Gosens,Alemanha,Lateral Esquerdo,29,Fiorentina,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Robin_Gosens_01_%28cropped%29.jpg/500px-Robin_Gosens_01_%28cropped%29.jpg,1,80,74,76,78,77,82
Ilkay Gündogan,Alemanha,Meio-campista,33,Galatasaray,https://ui-avatars.com/api/?name=Ilkay+Gündogan&size=500&background=0f172a&color=38bdf8,2,66,80,86,85,72,73
Toni Kroos,Alemanha,Meio-campista,34,Real Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Toni_Kroos_Real_Madrid_2021.jpg/500px-Toni_Kroos_Real_Madrid_2021.jpg,3,50,81,90,81,70,68
Leon Goretzka,Alemanha,Meio-campista,29,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_27.jpg/500px-FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_27.jpg,1,78,82,81,82,80,86
Serge Gnabry,Alemanha,Ponta Direita,28,Bayern Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Serge_Gnabry_WC2022.jpg/500px-Serge_Gnabry_WC2022.jpg,1,82,84,80,85,43,69
Leroy Sané,Alemanha,Ponta Esquerda,28,Galatasaray,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_22.jpg/500px-FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_22.jpg,1,91,81,80,86,38,66
Thomas Müller,Alemanha,Meia Atacante,34,Vancouver Whitecaps FC,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg/500px-FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg,4,68,84,83,80,55,71
Thibaut Courtois,Bélgica,Goleiro,32,Real Madrid,https://upload.wikimedia.org/wikipedia/commons/c/c4/Courtois_2018_%28cropped%29.jpg,3,50,20,65,60,90,75
Thomas Meunier,Bélgica,Lateral Direito,32,Lille,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93121.jpg/500px-2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93121.jpg,2,74,70,76,75,78,82
Toby Alderweireld,Bélgica,Zagueiro,35,Royal Antwerp,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3693_by_Stepro_%28cropped%29.jpg/500px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3693_by_Stepro_%28cropped%29.jpg,3,52,55,72,62,82,80
Jan Vertonghen,Bélgica,Zagueiro,37,Anderlecht,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Jan_Vertonghen_14_Jul_2018.jpg/500px-Jan_Vertonghen_14_Jul_2018.jpg,3,54,58,71,65,81,78
Timothy Castagne,Bélgica,Lateral Esquerdo,28,Fulham,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Timothy_Castagne_2912024_%282%29.jpg/500px-Timothy_Castagne_2912024_%282%29.jpg,1,78,65,74,76,77,75
Axel Witsel,Bélgica,Volante,35,Girona,https://upload.wikimedia.org/wikipedia/commons/f/f6/Witsel_celebrating_bronze_%28cropped%29.jpg,2,55,70,80,76,80,80
Youri Tielemans,Bélgica,Meio-campista,27,Aston Villa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Youri_Tielemans_2019.jpg/500px-Youri_Tielemans_2019.jpg,1,65,78,84,80,70,72
Kevin De Bruyne,Bélgica,Meia Atacante,33,Napoli,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Kevin_De_Bruyne-December_2021.png/500px-Kevin_De_Bruyne-December_2021.png,3,72,85,94,87,65,78
Yannick Carrasco,Bélgica,Ponta Esquerda,30,Al-Shabab,https://upload.wikimedia.org/wikipedia/commons/7/70/Yannick_Ferreira_Carrasco_%28cropped%29.jpg,1,86,78,80,86,55,68
Dries Mertens,Bélgica,Ponta Direita,37,Galatasaray,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Mertens_2018_%28cropped%29.jpg/500px-Mertens_2018_%28cropped%29.jpg,3,76,82,80,85,35,55
Romelu Lukaku,Bélgica,Centroavante,31,Napoli,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Romelu_Lukaku_2021.jpg/500px-Romelu_Lukaku_2021.jpg,3,80,85,72,75,38,84
Yassine Bounou,Marrocos,Goleiro,33,Al Hilal,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Yassine_Bono_%28cropped%29.jpg/500px-Yassine_Bono_%28cropped%29.jpg,2,50,25,65,65,85,70
Achraf Hakimi,Marrocos,Lateral Direito,25,Paris Saint-Germain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Achraf_Hakimi_vs_Niger%2C_5_Sept_2025.jpg/500px-Achraf_Hakimi_vs_Niger%2C_5_Sept_2025.jpg,2,92,74,79,80,76,78
Romain Saïss,Marrocos,Zagueiro,34,Al Sadd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/RomainSaiss.jpg/500px-RomainSaiss.jpg,2,58,52,66,62,80,82
Nayef Aguerd,Marrocos,Zagueiro,28,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg/500px-Nayef_Aguerd_vs_Niger%2C_5_Sept_2025.jpg,1,68,42,65,64,81,80
Noussair Mazraoui,Marrocos,Lateral Esquerdo,26,Manchester United,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Mazraoui.jpg/500px-Mazraoui.jpg,1,78,66,79,81,77,70
